rank	cluster_id	month	cluster_id_mm	issue_name	n_documents
1	32	4	32_04	미국발 상호관세 부과 및 한미 관세협상 (4월)	1639
2	1	12	1_12	쿠팡 개인정보 유출 사태 (12월)	1590
3	20	7	20_07	한미 관세협상 타결 (7월)	1151
4	53	1	53_01	지자체 민생경제 지원 확대 (1월)	1139
5	63	8	63_08	정부 양곡관리법 개정 및 쌀 수급조절 (8월)	986
6	53	7	53_07	정부·유통업계 가공식품 할인 확대 (7월)	870
7	46	8	46_08	광복 80주년 유통업계 기념 마케팅 (8월)	852
8	10	4	10_04	미국 상호관세 부과와 금융시장 변동 (4월)	766
9	57	3	57_03	지방정부 일자리 창출 정책 확대 (3월)	730
10	33	4	33_04	가공식품·외식 가격 인상 (4월)	671
11	11	6	11_06	트럼프발 대미 관세 인상 협상 (6월)	660
12	0	3	0_03	홈플러스 기업회생절차 신청 (3월)	647
13	45	12	45_12	프랜차이즈 치킨집 3만개 돌파 (12월)	643
14	47	11	47_11	K푸드·K뷰티 글로벌 확장 (11월)	641
15	34	1	34_01	최상목 권한대행 체제 출범 (1월)	618
16	61	12	61_12	2024년 지방정부 예산확대 및 지역사업 추진 (12월)	602
17	16	10	16_10	코스피 4000선 최초 돌파 (10월)	598
18	59	2	59_02	비수도권 그린벨트 해제 추진 (2월)	594
19	44	11	44_11	엔비디아-한국 AI 협력 (11월)	568
19	52	11	52_11	지방정부 내년도 예산안 편성 (11월)	568
21	47	3	47_03	이재용 회장 중국 시진핑 회동 (3월)	565
22	32	2	32_02	트럼프발 글로벌 관세전쟁 (2월)	539
23	6	10	6_10	서울 전역 부동산 3중 규제 시행 (10월)	537
24	49	12	49_12	AI 반도체 산업 성장 (12월)	508
24	57	4	57_04	지자체 추경예산 편성 확대 (4월)	508
26	47	7	47_07	정부 민생회복 소비쿠폰 지급 (7월)	506
27	14	11	14_11	AI 거품론에 따른 코스피 변동성 확대 (11월)	498
28	23	11	23_11	한미 관세협상 및 대미투자 합의 (11월)	479
29	12	9	12_09	코스피 3400선 첫 돌파 (9월)	438
30	43	10	43_10	한미 관세협상 타결 (10월)	437
31	20	11	20_11	정년연장 입법 논의 (11월)	435
32	68	9	68_09	대한민국 도시지역혁신산업박람회 개최 (9월)	432
33	40	5	40_05	AI 산업혁신 및 글로벌 경쟁 확대 (5월)	425
34	8	11	8_11	10·15 부동산 대책 시행 (11월)	423
35	30	10	30_10	캄보디아 범죄자금 국내유입 조사 (10월)	409
36	3	5	3_05	SKT 대규모 해킹사고 (5월)	408
37	48	4	48_04	경북 산불 피해 복구 지원 (4월)	405
38	26	6	26_06	정부 주도 AI 산업 육성 정책 (6월)	403
39	33	3	33_03	트럼프 행정부 글로벌 관세정책 강화 (3월)	399
40	20	6	20_06	수도권 주담대 6억 한도 규제 (6월)	392
41	20	12	20_12	정부 고환율 대응 대책 추진 (12월)	382
42	31	4	31_04	정부 12조원대 추경안 편성 (4월)	377
42	51	3	51_03	유통업계 리뉴얼·확장 경쟁 (3월)	377
44	12	11	12_11	고환율 대응 국민연금 동원 논의 (11월)	376
45	45	6	45_06	유통업계 초저가 경쟁 확대 (6월)	363
46	16	3	16_03	토지거래허가구역 해제 및 재지정 (3월)	362
47	49	10	49_10	경주 APEC CEO 서밋 개최 (10월)	354
48	16	12	16_12	서울 아파트값 상승세 지속 (12월)	351
49	45	9	45_09	정부 경제부처 조직개편 추진 (9월)	347
50	13	7	13_07	코스피 3200선 돌파 및 연고점 경신 (7월)	344
51	59	10	59_10	K뷰티·패션 글로벌 확장 (10월)	340
52	48	5	48_05	지방균형발전 정책 추진 (5월)	339
53	50	5	50_05	편의점 업계 내수 부진 및 첫 역성장 (5월)	332
54	36	9	36_09	한미 자동차 관세협상 (9월)	330
55	16	7	16_07	6·27 부동산 대출규제 시행 (7월)	328
56	17	12	17_12	가계대출 규제 강화 및 연체율 상승 (12월)	326
57	55	1	55_01	설 차례상 비용 상승 및 정부 물가대책 (1월)	323
58	10	5	10_05	제조업 취업자 감소 (5월)	321
59	51	1	51_01	CES 2025 인공지능 로봇 혁신 (1월)	319
60	30	2	30_02	트럼프발 미국 자동차 관세 추진 (2월)	315
61	38	2	38_02	유통업계 불황 대응 전략 (2월)	309
62	52	7	52_07	국가 AI 생태계 구축 추진 (7월)	297
63	42	3	42_03	트럼프 관세 대응 현대차 대미투자 (3월)	296
64	33	1	33_01	현대차그룹 친환경차 수출확대 (1월)	293
65	71	9	71_09	지방자치단체 예산확대 및 지역개발 (9월)	292
66	7	12	7_12	제주항공 여객기 참사 1주기 (12월)	289
67	16	4	16_04	청년층 취업난 심화 (4월)	286
68	55	7	55_07	여름철 전력수요 급증 대응 (7월)	284
69	12	6	12_06	이스라엘 이란 무력충돌 여파 (6월)	282
70	22	9	22_09	미국 현지 공장 한국인 대규모 구금 (9월)	281
71	27	10	27_10	현대차그룹 美관세 부담 확대 (10월)	280
72	4	2	4_02	항공사 보조배터리 안전관리 강화 (2월)	277
73	12	8	12_08	한국은행 기준금리 동결 (8월)	273
74	8	2	8_02	한은 성장률 하향 및 기준금리 인하 (2월)	271
74	19	9	19_09	부동산 대출규제 강화 (9월)	271
74	62	8	62_08	민생회복 소비쿠폰 지급 (8월)	271
77	69	7	69_07	광역철도망 구축 예비타당성 통과 (7월)	265
78	46	5	46_05	이상기후로 인한 농작물 피해 확산 (5월)	263
79	61	7	61_07	하반기 아파트 분양 확대 (7월)	258
80	6	5	6_05	서울 아파트값 상승세 지속 (5월)	256
81	6	4	6_04	항공사고 피해자 지원 특별법 (4월)	250
82	27	12	27_12	기아 창립 80주년 기념 (12월)	246
83	31	11	31_11	금산분리 완화 논의 (11월)	245
84	6	7	6_07	상반기 국제선 여객 증가 (7월)	241
84	53	11	53_11	2035년 온실가스 감축목표 상향 (11월)	241
86	41	5	41_05	한미 조선업 협력 강화 (5월)	237
87	20	4	20_04	은행권 대출 연체율 상승 (4월)	232
88	40	3	40_03	상장사 주주총회 경영진 교체 (3월)	230
88	57	10	57_10	청년 및 중장년 일자리 창출 협력 (10월)	230
90	4	4	4_04	토지거래허가구역 확대 지정 (4월)	227
91	9	4	9_04	한국은행 기준금리 동결 (4월)	226
92	1	4	1_04	SKT 해킹에 따른 유심 무상교체 (4월)	222
92	42	8	42_08	한미 정상회담 관세협상 (8월)	222
92	59	3	59_03	경북·경남 대형산불 발생 (3월)	222
95	8	6	8_06	한국 국가경쟁력 7계단 하락 (6월)	220
95	8	10	8_10	국제 금값 사상 최고치 경신 (10월)	220
95	14	1	14_01	비상계엄 여파 성장률 하향 (1월)	220
